ProductName,SKU,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,DefaultUnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,AGD,Astoria Homes,Beaver Builders,BROOKFIELD,CAS CONSTRUCTION,Country Road Homebuilders,Daniel,David Weekly Homes,DFW Installations,FIG TREE HOMES,FIRST TEXAS HOMES,GH HOMES,Harvest Home Designs,Hunt Homes,Jake Jackson,James Lancaster,JCLI Homes,JOSEPH PAUL HOMES,Key Custom Homes,Malibu Homes,McClintock,Millcreek,NEWPORT HOMEBUILDERS,Pulte ,Stately Design and Renovation,STONEHOLLOW,SUMMA TERRA,TGC Custom Homes,TOLL BROTHERS,TRUTH CONSTRUCTION,TX BUILT CONST,Victor Myers,Villa May,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,CombineQuantityBuildable,AutoManufacture,IsActive
Delivery,BC000058,SERVICE,Service,FALSE,,,,,125,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,,CENTRAL HARDWOODS,,,BC000058,ea.,ea.,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
Labor - Door Install,BC000089,SERVICE,Service,FALSE,,,,,0,,FALSE,FALSE,,,,,,,,,,,,,,,,110,,150,,,,135,,110,,135,,,,,,,135,0,,"DFW Door Installations, LLC",,,BC000089,ea.,ea.,1,1,ea.,1,1,,,,,,FALSE,FALSE,TRUE
Material Management Fee,BC000093,SERVICE,Service,FALSE,,,,,0,3,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,2200,,,,,,,,,,0,,,,,BC000093,,,1,1,,1,1,,,,,,FALSE,FALSE,TRUE
Shelf Rod Supports,BC000111,CLOSET BRACKETS,Stocked product,FALSE,,,,"Closet Shelf Rod Supports

BUY PALLET  $1.57EA    960PCS",5.32,150,TRUE,FALSE,3.71,3.71,,,,,,,,3.76,,3.76,,,,,,3.76,2.87,,,2.14,2.94,2.8,3.76,2.8,,,3.12,3.71,,,2.87,2.12685,,DW Distribution,,2.13,BC000111,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"1""x12""x12' Bullnose Particle Board",BC000113,SHELVING,Stocked product,FALSE,,,,136/ UNIT,21.88,150,TRUE,FALSE,16.5,11.81,,21.6,,,,,,16.5,16.5,,,,,,,17.26,,,,15.24,,13.5,,15.58,,,16.5,16.5,,,,8.75,,DW Distribution,,8.75,BC000113,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"1""x16""x12' Bullnose Particle Board",BC000114,SHELVING,Stocked product,FALSE,,,,102/ UNIT,29.75,150,TRUE,FALSE,23.52,,,27,,,,,,23.52,,,,,,,,23.52,,,,16.07,,,,23.52,,,23.45,23.46,,,,11.9,,DW Distribution,,11.9,BC000114,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"1"" X 12"" X 16' MDF S4S UNPRIMED",BC000002,TRIM,Stocked product,FALSE,,,,"1"" x 12"" x 16' MDF S4S Unprimed
100/ UNIT",29.55,150,TRUE,FALSE,15.96,15.96,,18.2,,,,,,,,30,,,30,,,,15.96,,,30,16.31,30,,,,,30,18.2,,,15.37,11.82,,BlueLinx,,12.5,BC000002,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
"1"" X 2"" X 16' MDF S4S UNPRIMED",BC000003,TRIM,Stocked product,FALSE,,,,480/ UNIT,5.08,150,TRUE,FALSE,,2.74,,5.28,,,,,,5.06,,,,,5.29,,,5.29,,,2.74,4.64,,6.4,,4.78,,,6.72,5.29,,,,2.03,,DW Distribution,,2.03,BC000003,ea.,ea.,1,1,ea.,1,1,0,0,0,0,"LEVI CONFIRMED ONLY 568, BOB RECOUNTED AND AGREED THAT HE MADE A MISTAKE   10/21",FALSE,FALSE,TRUE
"1"" X 4"" X 16' MDF S4S UNPRIMED",BC000004,TRIM,Stocked product,FALSE,,,,325/ UNIT,9.9,150,TRUE,FALSE,10.64,5.35,,6.34,,,,,,9.75,7.96,10.64,,,7.37,,,,5.35,,5.35,10.08,5.46,11.2,7.98,,,,14.08,8.32,5.46,,6.26,3.96,,DW Distribution,,3.96,BC000004,ea.,ea.,1,1,ea.,1,1,0,0,0,0,"LEVI CONFIRMED ONLY 539, BOB RECOUNTED AND AGREES WITH LEVI, MISTAKE BY BOB AGAIN   10/21",FALSE,FALSE,TRUE
"1"" X 8"" X 16' MDF S4S UNPRIMED",BC000005,TRIM,Stocked product,FALSE,,,,144/ UNIT,25.28,150,TRUE,FALSE,,,,,,21.6,,,,,,15.57,,,,,,15.57,,,13.65,21.6,,21.6,,21.6,,,15.57,,,,,10.11,,Southwest Moulding & Millwork,1031793,,BC000005,ea.,ea.,1,1,ea.,1,1,0,0,0,0,,FALSE,FALSE,TRUE
