type,product_id,product_sku,product_name,vendor_id,vendor_name,vendor_code,po_count,total_po,pct,lead_days,all_candidates
winner,cmmzrpv8v000193opp7gep72z,BC000089,"Labor - 6'8"" Door Install",cmn2b7psb000nyf0kddje896a,"DFW Door Installations, LLC",DFWD1,47,54,0.870,15,
winner,cmmzrpvha000493op353jg1m9,BC000113,1 x 12 x 12' Bullnose Particle Board,cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,BLUE1,9,21,0.429,30,
winner,cmmzrpvno000793op5vibkt5j,BC000003,1 X 2 X 16' MDF RAW,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,3,5,0.600,,
winner,cmmzrpvpj000893op3jinpl2l,BC000004,1 X 4 X 16' MDF RAW,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,3,5,0.600,,
winner,cmmzrpvt3000a93opdbhdladd,BC000054,"A Colonial Casing 2 -1/4"" x 14'2"" FJ Pine Primed",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,3,5,0.600,30,
winner,cmmzrpvws000c93ope7fzd0mh,BC000075,Handrail 16' Hemlock SW-6040-16,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,2,2,1.000,30,
winner,cmmzrpw19000e93opp78kql45,BC000030,"BC 3068 LH FC60 THERMA-TRU FIBER-CLASSIC OAK FG DOOR 4-9/16"" JAMB BM BN PEEP",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,2,1.000,,
winner,cmmzrpw54000g93opzv0164kp,BC000134,"Sure Sill Pan 4-9/16""x 40"" CP464S040",cmn2b7rld001jyf0km4mr6jig,Suresill,SURE1,1,1,1.000,30,
winner,cmmzrpw7h000h93opb62fgx1f,BC000156,WALLRAIL BRACKET 3002 SATIN NICKEL 2 3/4,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,4,4,1.000,30,
winner,cmmzrpw9i000i93opltnzcvl6,BC000203,1 x 6 x 16' MDF S4S PRIMED,cmn2b7qsr0015yf0kh8wyk4sc,METRIE,METR1,7,22,0.318,15,
winner,cmmzrpwcy000k93opl1o16e96,BC000206,Henry's Fortiflash 4'' Butyl Tape,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,7,7,1.000,30,
winner,cmmzrpwev000l93opv5v4ocnl,BC000237,"BC 3068 RH FC60 THERMA-TRU FIBER CLASSIC OAK FG DOOR 6-9/16"" JMB BM SN PEEP",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrpwgm000m93opa9cmipmk,BC000240,BC 26410 RHOS HC Fullbound WSx4 door,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,2,1.000,,
winner,cmmzrpwif000n93opqjgwxdk1,BC000241,BC 26410 LHOS HC Fullbound WSx4 door,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,3,3,1.000,,
winner,cmmzrpwmw000p93opqja3aujk,BC000276,Service/Labor,cmn2b7rn9001kyf0k3pwbrjh7,Texas Innovation Building LLC,TEXA1,56,75,0.747,,
winner,cmmzrpwp5000q93op216vwsz7,BC000294,Labor - Door Adjustment,cmn2b7psb000nyf0kddje896a,"DFW Door Installations, LLC",DFWD1,65,69,0.942,15,
winner,cmmzrpwrn000r93op5t432zie,BC000295,1 x 16 x 16' MDF RAW,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,2,3,0.667,,
winner,cmmzrpwvr000t93opt5eim2op,BC000370,1 X 4 X 17' MDF S4S PRIMED,cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,BLUE1,6,16,0.375,30,
winner,cmmzrpwxz000u93opnj6dp87q,BC000374,"Sure Sill Pan 6-9/16""x 40"" CP663S040",cmn2b7rld001jyf0km4mr6jig,Suresill,SURE1,2,2,1.000,30,
winner,cmmzrpwzn000v93opmtaqyljn,BC000375,BC 2868 6 PANEL RHIS SC 20 MIN FIRE DOOR SGL BORE 4-9/16 JAMB MILL SILL SN SPRING HINGES,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,2,1.000,,
winner,cmmzrpx1q000w93op4lnmca0a,BC000376,BC 2868 6 PANEL LHIS SC 20 MIN FIRE DOOR SGL BORE 4 9/16 MILL SILL SN SPRG HINGES,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,9,9,1.000,,
winner,cmmzrpx3g000x93op4dteuebn,BC000377,"BC 2868 PRO SELECT 1/2 LITE, 2 PANEL, LHOS, 4-9/16"" JAMB, SN NRP HINGES, BM",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,9,9,1.000,,
winner,cmmzrpx5i000y93opfupfpjql,BC000378,"BC 2868 PRO SELECT 1/2 LITE, 2 PANEL, RHOS, 4-9/16"" JAMB, SN NRP HINGES, BM",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,4,4,1.000,,
winner,cmmzrpx84000z93ope7mn2vxh,BC000379,"DOUBLE OGEE WALL CAP 7-1/4"" X 16' PRIMED MDF",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrpxy6001b93op1y6p9wz9,BC000394,S2554 SUPERIOR ATTIC STAIR 300LB  7-6 TO 10-4,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,5,6,0.833,30,
winner,cmmzrpy0h001c93op75adgnvd,BC000397,LA5 COVE CROWN 17MM X 4-1/4 MDF 16',cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,6,9,0.667,30,
winner,cmmzrpy6i001f93opdlbchxwp,BC000400,"BIRCH BEADED BOARD 4' x 8' x 1/4""",cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,BLUE1,3,3,1.000,39,
winner,cmmzrpy8d001g93opdg0h4wx6,BC000401,BAB514 Base 9/16 x 5-1/4 x 16' FJ RAW,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,30,
winner,cmmzrpya0001h93opqxebj5cf,BC000402,"C-196 CASING 3-9/16"" x 17' FJ UNPRIMED",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,30,
winner,cmmzrpydy001i93opht2wpu31,BC000403,LOUISVILLE R10 ALUMINUM ATTIC STAIR 25-1/2x54x10-3,cmn2b7op00004yf0k3trxf15z,BELMONT ENTERPRISES,BELM1,6,9,0.667,27,
winner,cmmzrpyfs001j93op5mjqp3so,BC000405,"BC 2880 RH THERMA TRU STEEL 810 6 PANEL DBL BORE 6-9/16"" FJ JMB BM ADJ SILL SPRNG HNGS",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,2,1.000,30,
winner,cmmzrpyk1001l93opavez63d7,BC000408,"BC 2880 LH THERMA TRU STEEL 818 FULL LITE DBL BORE 4-9/16"" FJ JMB BM ADJ SILL",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrpylq001m93opyhzpup9o,BC000410,DW 2868 20 MIN 2 PANEL SQUARE TOP LHIS SB 6 9/16 FJ MILL SILL SPRING SN HINGES,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrpzln001z93op0m0zew9c,BC000433,"SHOE MOULD 7/16"" x 3/4""x 16' PRIMED",cmn2b7qsr0015yf0kh8wyk4sc,METRIE,METR1,4,7,0.571,15,
winner,cmmzrq0ck002893opxuaip3zh,BC000443,"SLB514 5-1/4"" x 16' BASE PRIMED MDF",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,2,2,1.000,30,
winner,cmmzrq0ea002993opsrk6nx54,BC000456,1/4  x 4' x 8' MDF,cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,BLUE1,1,1,1.000,,
winner,cmmzrq0go002a93opdg1yyjqc,BC000457,3/4  x 4' x 8' MDF,cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,BLUE1,3,5,0.600,30,
winner,cmmzrq0iw002b93op9bznp91i,BC000458,"B-218 BASE 9/16"" x 5-1/4"" x 16' FJ PRIMED",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,5,9,0.556,30,
winner,cmmzrq0l9002c93opxhj4kdlp,BC000460,"B-322 BASE 9/16"" x 3-1/4"" x 16' FJ PRIMED",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrq0p0002e93op7g3xrcn8,BC000462,"C-295 CASING 9/16"" x 3-1/2"" x 17' FJ PRIMED",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,4,4,1.000,30,
winner,cmmzrq0r5002f93opezyzrtq3,BC000463,"C-322 CASING 5/8"" x 2-1/2"" x 14'2"" FJ PRIMED",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,1,1,1.000,30,
winner,cmmzrq0t8002g93opqp5y9axb,BC000464,"FULL ROUND CLOSET ROD LVL 1-1/4"" x 1-1/4"" x 16'",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,9,11,0.818,30,
winner,cmmzrq0ws002i93optnkg8xmj,BC000466,"WM-1021 WINDOW STOOL 11/16"" x 5-1/4"" x 16' FJ PRIMED",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,8,10,0.800,30,
winner,cmmzrq10r002k93op6ynku1h3,BC000470,WOOD POLE SOCKETS,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,7,11,0.636,30,
winner,cmmzrq17f002o93opecok99gn,BC000490,"B-714 BASE 9/16"" x 7-1/4"" x 16' MDF PRIMED",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,2,2,1.000,,
winner,cmmzrq1hw002t93ops58wmfvo,BC000526,"2"" x 4"" x 8' WESTERN PINE S4S",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrq1k2002u93opvm8t100u,BC000532,BC 2868 2 PANEL ARCH TOP SMH LHIS SC 20 MIN FIRE DOOR SGL BORE 4 9/16 MILL SILL SN SRG HIN,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrq1qp002y93opjbahc3me,BC000558,BC 6/8 BRONZE WEATHERSTRIP MEDIUM REACH,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,5,7,0.714,33,
winner,cmmzrq2hl003393opq10mbtxs,BC000564,"DW 2880 1-3/4"" SC RIVERSIDE, LHIS, 4-9/16"" FJ JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,4,4,1.000,,
winner,cmmzrq2n0003493opek947ksw,BC000565,"DW 2880 1-3/4"" SC RIVERSIDE, RHIS, 4-9/16"" FJ JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,5,5,1.000,,
winner,cmmzrq2rs003593opxjcko9zw,BC000566,"DW 2480 1-3/4"" SC RIVERSIDE, RHIS, 6-5/8"" FJ JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,2,2,1.000,,
winner,cmmzrq2uz003693oprgqirzp6,BC000567,"DW 2480 1-3/4"" SC RIVERSIDE, RHIS, 4-9/16"" FJ JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,5,5,1.000,,
winner,cmmzrq32a003993opk1ijp3tf,BC000573,Handrail 20' Hemlock SW-6040-20,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,2,2,1.000,30,
winner,cmmzrq371003b93op6xy5cm7c,BC000602,1 x 4 x 17' FJ S4S PRIMED,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,7,17,0.412,30,
winner,cmmzrq39a003c93op2yfxaaf2,BC000618,"72"" BARN DOOR HARDWARE KIT BENT STRAPS BLACK                                                 BLACK",cmn2b7omv0003yf0klwo64tfc,Banner Solutions,BANN1,6,7,0.857,30,
winner,cmmzrq46p003r93opn7avwd9i,BC000697,"BC 2868 RHIS PRO SELECT FG FULL LITE 4-9/16"" JMB MILL SILL SN HNGS",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,3,0.667,,
winner,cmmzrq48j003s93opotfymyjx,BC000698,"BC 2868 LHIS PRO SELECT FG FULL LITE 4-9/16"" JMB MILL SILL SN HNGS",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,3,3,1.000,,
winner,cmmzrq4hq003w93opa881uyhr,BC000724,"DW 2880 20 MIN RH GARAGE TO HOUSE 6-9/16"" JMB SPRNG HNGS",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,3,3,1.000,,
winner,cmmzrq4ks003x93op9ed2uwlg,BC000726,"DW DBL 2680 1-3/4"" SC RIVERSIDE NO BORE BALL CATCH 4-5/8"" JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrq4qk003z93opgmsfeh1x,BC000728,MOISTOP SEALANT AP URETHANE WHITE,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,6,6,1.000,30,
winner,cmmzrq5av004893op1pf2flxu,BC000752,BC 3068 DUNNAGE 1 3/4 HC SLAB ONLY,cmntqnsio02foq328tfik4ud5,WOODGRAIN,WOODGRAIN,1,1,1.000,,
winner,cmmzrq5iv004a93op75luvyo5,BC000764,"WM-1021 WINDOW STOOL 11/16"" x 7-1/4"" x 16' FJ PRIMED",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,5,7,0.714,30,
winner,cmmzrq5tz004e93opvhzipg2x,BC000773,"BC 2680 LH SC Monroe 4-5/8"" FJ Jamb Brass Hinges",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrq5w7004f93opnu2y5met,BC000777,"BC 2480 LH SC Monroe 4-5/8"" FJ Jamb Brass Hinges",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrq5yo004g93op8nfc7afa,BC000778,"BC 2480 RH SC Monroe 4-5/8"" FJ Jamb Brass Hinges",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrq63w004i93opeazf79kp,BC000786,1 x 6 T&G White Oak,cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,BLUE1,2,2,1.000,36,
winner,cmmzrq6zk004u93op0lfbjlh8,BC000817,Labor - Door Install Slab Only,cmn2b7psb000nyf0kddje896a,"DFW Door Installations, LLC",DFWD1,3,3,1.000,15,
winner,cmmzrq71m004v93opuhzqv24b,BC000822,Labor - Hinge Swap,cmn2b7psb000nyf0kddje896a,"DFW Door Installations, LLC",DFWD1,1,1,1.000,15,
winner,cmmzrq75x004x93opc7md4fw7,BC000829,"DW DBL 2680 FRENCH FULL LITE, CLEAR GLASS, SINGLE BORE, RHIS, 6-5/8"" FJ PRIMED JAMB, T-ASTRAGAL",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,2,2,1.000,,
winner,cmmzrq82b005a93ophu76qu35,BC000874,BC 2480 POCKET DOOR FRAME 2X4 WALL,cmntqnsio02foq328tfik4ud5,WOODGRAIN,WOODGRAIN,1,1,1.000,,
winner,cmmzrq844005b93opnha6j5hq,BC000884,"Sure Sill Pan 6-9/16""x 80"" CP663S080",cmn2b7rld001jyf0km4mr6jig,Suresill,SURE1,1,1,1.000,30,
winner,cmmzrq86e005c93opfzjrjfqm,BC000886,"Sure Sill Pan 4-9/16""x 80"" CP464S080",cmn2b7rld001jyf0km4mr6jig,Suresill,SURE1,1,1,1.000,30,
winner,cmmzrq8df005f93opok3rcorp,BC000902,"BC 2880 LH THERMA TRU STEEL 818 FULL LITE DBL BORE 6-9/16"" FJ JMB BM ADJ SILL",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,3,3,1.000,,
winner,cmmzrq8if005h93opldcql4op,BC000947,"SLCR-514 5-1/4"" COVE CROWN MDF PRIMED",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,1,1,1.000,30,
winner,cmmzrq8ko005i93opg14g7gwa,BC000964,BC 2868 2 PANEL ARCH TOP SMH RHIS SC 20 MIN FIRE DOOR SGL BORE 4 9/16 MILL SILL SN SRG HIN,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrq8us005m93opj1voqe2i,BC000977,1 x 8 x 16' FJ PINE S4S RAW,cmntqnsio02foq328tfik4ud5,WOODGRAIN,WOODGRAIN,1,1,1.000,,
winner,cmmzrq94q005r93op0v5rlkis,BC001005,BC 3080 1 3/4 SC Monroe Slab Only,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrq971005s93optkrj90jc,BC001006,LABOR-TRIM CARPENTRY,cmn2b7rn9001kyf0k3pwbrjh7,Texas Innovation Building LLC,TEXA1,46,46,1.000,15,
winner,cmmzrq992005t93oppcgaloq0,BC001007,DW 6/8 BROWN WEATHERSTRIP MEDIUM REACH,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrq9hn005x93opaspzw6ia,BC001048,"DW 2480 FULL LITE FROSTED LH 4-9/16"" FJ JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrq9m8005z93oppr3d9r86,BC001050,"DW DBL 2680 FRENCH FULL LITE CLEAR GLASS SNGL BORE LH 4-5/8"" FJ JMB T-ASTRAGAL",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrq9q9006193op7xkdj20f,BC001052,"DW 2480 1-3/4"" SC RIVERSIDE LH 4-9/16"" FJ JAMB",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,5,5,1.000,,
winner,cmmzrq9v1006393op0hgl611d,BC001054,"DW DBL 2680 1-3/4"" SC RIVERSIDE RH 4-5/8"" JAMB T-ASTRAGAL",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrqagb006d93op3o0ofhb8,BC001112,"BC 3'0"" SWEEP FOR FIBERGLASS/STEEL SLAB",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,6,9,0.667,30,
winner,cmmzrqaik006e93opjxfo2b2c,BC001129,"DW 2480 RH SC Riverside 4-5/8"" FJ Jamb SN HNGS",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrqb35006n93opzz1zgw05,BC001173,ATTIC STAIR PULL DOWN POLE METAL,cmn2b7op00004yf0k3trxf15z,BELMONT ENTERPRISES,BELM1,1,1,1.000,,
winner,cmmzrqb5m006o93op88quapb1,BC001194,BC 3080 POCKET DOOR FRAME 2X6 WALL,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrqb7o006p93opb009v6wc,BC001195,BC 2880 POCKET DOOR FRAME 2X6 WALL,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrqbmo006v93opy0wi7j5l,BC001234,TRIP CHARGE,cmn2b7rn9001kyf0k3pwbrjh7,Texas Innovation Building LLC,TEXA1,4,4,1.000,,
winner,cmmzrqbty006y93opn67eosx3,BC001243,1 x 8 x 16' S4S MDF PRIMED,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrqbzz007193opel74f75m,BC001267,HWS 3080 WOOD 5 LITE CONTEMPORARY MAHOGANY W/ SATIN GLASS SLAB ONLY,cmn2b7qa4000wyf0ktezyjane,HOELSCHER WEATHERSTIP MFG,HOEL1,6,6,1.000,,
winner,cmmzrqc2g007293optigjjgwp,BC001287,"B-695 9/16""x6-1/2""x16' FJ",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrqc4j007393opqiyuch3m,BC001288,BC 3068 POCKET DOOR FRAME 2X4 WALL,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrqc91007593op8bk4iqre,BC001300,"BC 2880 RH THERMA TRU STEEL 818 FULL LITE DBL BORE 6-9/16"" FJ JMB ADJ SILL",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,5,5,1.000,30,
winner,cmmzrqcau007693op8z5t15df,BC001301,"B-218 BASE 9/16"" x 5-1/4"" x  16' MDF PRMD",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,3,5,0.600,30,
winner,cmmzrqchq007993opkmb4cl5e,BC001317,FULL ROUND CLOSET ROD 10',cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,2,2,1.000,30,
winner,cmmzrqcm6007b93opzs2y9dg0,BC001322,BC 22x36 LOWE GLASS INSERT,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,14,17,0.824,30,
winner,cmmzrqdfk007o93opy6s2jx5c,BC001346,"BB2 BACKBAND 11/16"" x 1-1/4"" x 16' FJ S4S PRIMED",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrqdhd007p93op81s5zwqu,BC001348,"PM-6 PANEL MOULD 11/16"" x 2"" x 16"" RAW FJ",cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,NOVO1,1,1,1.000,30,
winner,cmmzrqdj5007q93op7jowuutj,BC001349,1 x 8 x 16' FJ PRIMED SHIPLAP,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,3,3,1.000,30,
winner,cmmzrqdt6007u93opgwfcu7bq,BC001353,1 X 2 X 16' MDF S4S PRIMED,cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,1,1,1.000,,
winner,cmmzrqe2q007y93opro0dmt5e,BC001362,BALL CATCH W/SN STIKE PLATE,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrqe5b007z93oph0t8zunx,BC001368,3 1/2 X 3 1/2 SN (US15) HINGE,cmntqnskk02fpq328cj399pyb,WORLDWIDE,WORLDWIDE,1,1,1.000,,
winner,cmmzrqe7h008093opqx4nfwok,BC001369,PRECUT 5/8 X 2-1/4 X 84 FJ ACOL CASING,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,4,6,0.667,36,
winner,cmmzrqeek008393opblvjmo6x,BC001372,BC 1668 6 PANEL TEXTURED 1-3/8 HC SLAB ONLY,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrqegh008493oph35l024k,BC001373,BC 2068 6 PANEL TEXTURED 1-3/8 HC SLAB ONLY,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,10,11,0.909,24,
winner,cmmzrqeip008593opjuk2c5rv,BC001374,BC 2468 6 PANEL TEXTURED 1-3/8 HC SLAB ONLY,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,2,1.000,30,
winner,cmmzrqel1008693op353cwfez,BC001375,BC 2668 6 PANEL TEXTURED 1-3/8 HC SLAB ONLY,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,11,11,1.000,25,
winner,cmmzrqeni008793opcmmlmj3d,BC001376,BC 2868 6 PANEL TEXTURED 1-3/8 HC SLAB ONLY,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,2,3,0.667,30,
winner,cmmzrqext008b93op6zjt7rx5,BC001397,1 X 10 X 20' CEDAR,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,30,
winner,cmmzrqf9y008g93opexv2ee95,BC001403,"DW 3680 LH DUNNAGE 6-9/16"" JAMB BM BLK HNGS BRNZ SILL",cmn2b7py8000qyf0kp1an55lh,DW Distribution,DWDI1,3,3,1.000,30,
winner,cmmzrqfjt008k93op150l1alf,BC001407,"BC 3080 LH DUNNAGE 4-9/16"" JAMB BM BLK HNGS BRNZ SILL",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,1,1,1.000,,
winner,cmmzrqfpg008l93opnjmfebfd,BC001408,"BC 3080 LH DUNNAGE 6-9/16"" JAMB BM BLK HNGS BRNZ SILL",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,3,3,1.000,30,
winner,cmmzrqgte008w93opb393cyd4,BC001423,"BC 3080 LH THERMA TRU S8000 FULL LITE 4-9/16"" JMB BRZ SILL BLCK HNGS",cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,BOIS1,3,3,1.000,30,
