product_id,product_sku,product_name,recent_spend,strategy,winner_vendor_id,winner_vendor,winner_ontime_rate,winner_ontime_denom,winner_avg_lead,losers,note
cmmzrpvdp000393ope4kntbyx,BC000111,Shelf Rod Supports,6332.78,alphabetical,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,1.000,41,30.00,,
cmmzrpvjg000593oplgpzjymv,BC000114,1 x 16 x12' Bullnose Particle Board,12279.10,alphabetical,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,1.000,41,30.00,,
cmmzrpvl4000693opj67twwaj,BC000002,1 x 12 x 16' MDF RAW,14443.72,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrpvv0000b93oppx3dqggk,BC000057,"8012 CROWN 9/16"" x 4- 1/4"" X 16' MDF PRIMED",5001.12,lead-time,cmn2b7qsr0015yf0kh8wyk4sc,METRIE,1.000,31,15.04,"DW Distribution(ot=100%,lead=29.3)",
cmmzrpvz6000d93opcf5snlpk,BC000112,Shelf Supports,2380.17,on-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"PENROD COMPANY(ot=n/a,lead=n/a)",
cmmzrpwb1000j93opk7f51edb,BC000204,Wood Shims 36 PACKS/ BOX,756.86,lead-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"Novo Building Products(ot=100%,lead=30.0)",
cmmzrq12j002l93op6ytv0lm5,BC000485,FREIGHT,147.91,alphabetical,cmn2b7r30001ayf0k4ouon3n9,PENROD COMPANY,,0,,"RESINART(ot=n/a,lead=n/a)",
cmmzrq19o002p93optgtq350f,BC000491,"SLC-312 CASING 3-1/2"" x 17' MDF PRIMED",1649.87,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Novo Building Products(ot=100%,lead=30.0)",
cmmzrq4cx003u93op9unwkx9f,BC000705,BC 3'0'' SWEEP FOR WOOD DOOR,1050.75,alphabetical,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,,
cmmzrq5cz004993opgda2ee44,BC000762,BC 22x80 LOWE W/MINI BLINDS GLASS INSERT,3168.64,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrq7hy005293opung5hksp,BC000839,FLIP LOCK BLACK FOR 6'8'' T-ASTRAGAL,302.60,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"WORLDWIDE(ot=n/a,lead=n/a)",
cmmzrq8wt005n93opgvz8afuv,BC000978,1 x 6 x 16' S4S FJ PRIMED,21992.40,alphabetical,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,,
cmmzrqal9006f93opobngew89,BC001153,"2'8"" SWEEP FG DOOR",162.50,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrqbae006q93opwhznt48x,BC001201,WM-623 9/16 x 3-1/4 FJ PRIMED 16' BASE,1148.27,lead-time,cmn2b7q47000tyf0km7f7ttun,GAIENNIE LUMBER CO,1.000,1,30.00,"Novo Building Products(ot=100%,lead=30.0)",
cmmzrqcjp007a93op0jdzm2j3,BC001319,1 x 6 s4s White Oak 16',1495.04,lead-time,cmn2b7q47000tyf0km7f7ttun,GAIENNIE LUMBER CO,1.000,1,30.00,"BlueLinx(ot=100%,lead=31.5) | CENTRAL HARDWOODS(ot=n/a,lead=n/a)",
cmmzrqdlq007r93opufqc1028,BC001350,3/4 x 4' x 8' WHITE OAK PLYWOOD SHEET,8376.00,on-time,cmn2b7ot40006yf0kdvvz8hjn,BlueLinx,1.000,32,31.46,"CENTRAL HARDWOODS(ot=n/a,lead=n/a)",
cmmzrqdve007v93opu628x4g4,BC001354,BRICKMOLD 17' PRIMED FJ,6729.43,alphabetical,cmn2b7qsr0015yf0kh8wyk4sc,METRIE,1.000,31,15.04,,
cmmzrqhy6009a93opsf04wla6,BC001453,FLIP LOCK SN FOR 6'8''T-ASTRAGAL,233.12,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"WORLDWIDE(ot=n/a,lead=n/a)",
cmmzrqjqa00a993op2om0za6d,BC001498,2080 1 3/8 PRIMED PINE 1 LITE W/ CLEAR GLASS SLAB ONLY,3797.46,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrql0d00ax93opmkenjkr0,BC001590,1 x 8 x 16' S4S FJ PINE PRIMED,499.49,lead-time,cmn2b7qsr0015yf0kh8wyk4sc,METRIE,1.000,31,15.04,"DW Distribution(ot=100%,lead=29.3) | Boise Cascade(ot=100%,lead=29.7)",
cmmzrqmwn00bx93opa9n2wexm,BC001680,INTERIOR CLEAR T-ASTRAGAL 1-3/8 LH FOR 8/0 ROUTED FOR FLIP LOCK,2562.77,alphabetical,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,,
cmmzrqn1z00c093op4pv8moqq,BC001683,INTERIOR CLEAR T-ASTRAGAL 1-3/4 RH FOR 8/0 ROUTED FOR FLIP LOCK,526.02,on-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"WORLDWIDE(ot=n/a,lead=n/a)",
cmmzrqn3l00c193opgzkdw26q,BC001685,3 1/2 x 3 1/2 BLACK HINGE,4566.80,alphabetical,cmntqnskk02fpq328cj399pyb,WORLDWIDE,,0,,,
cmmzrqn9300c493opk8ot0pkx,BC001688,4 x 4 SN SPRING HINGE,1467.02,alphabetical,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,,
cmmzrqncc00c693opqyt7x8xh,BC001690,4 x 4 BLACK HINGE NSS,4442.00,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"WORLDWIDE(ot=n/a,lead=n/a)",
cmmzrqohd00cr93opv5fg4r7b,BC001725,3 1/2 X 3 1/2 CHROME HINGE,439.03,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"Main Street Lumber(ot=n/a,lead=n/a)",
cmmzrqomz00cu93opmhdo9xrs,BC001729,4 X 4 CHROME SPRING HINGE,56.76,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"Main Street Lumber(ot=n/a,lead=n/a)",
cmmzrqte600et93op8o9wlwhp,BC001873,BALL CATCH W/ CHROME STRIKE PLATE,-31.50,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"Main Street Lumber(ot=n/a,lead=n/a)",
cmmzrqupi00fj93opclpe87e2,BC001924,1 x 4 x 10' White Oak,111.00,on-time,cmn2b7q47000tyf0km7f7ttun,GAIENNIE LUMBER CO,1.000,1,30.00,"CENTRAL HARDWOODS(ot=n/a,lead=n/a)",
cmmzrqxrq00hb93opspxzydna,BC002022,BAB514 Base 9/16 x 5-1/4 x 16' FJ PRIMED,23893.80,lead-time,cmn2b7qsr0015yf0kh8wyk4sc,METRIE,1.000,31,15.04,"DW Distribution(ot=100%,lead=29.3) | Brazos Forest Products(ot=n/a,lead=n/a)",
cmmzrqyne00ht93opmrnlydu8,BC002048,BC 3080 FG CRAFTSMAN 3/4 LITE 1 PANEL W/SATIN GLASS SLAB ONLY,2351.90,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"Boise Cascade(ot=100%,lead=29.7) | 84 Lumber(ot=n/a,lead=n/a)",
cmmzrqyp600hu93opvm1e0jse,BC002049,MISC ITEM,46700.16,alphabetical,cmn2b7p1o000ayf0ks09ytrwv,BURRIS WINDOW,,0,,,
cmmzrr4lj00kw93op37m3kdcq,BC002193,A Colonial Casing 5/8 x 3 1/2 x 17 FJ Pine Primed,1325.70,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Novo Building Products(ot=100%,lead=30.0)",
cmmzrr4ru00kz93opksi5606q,BC002196,BC 2030 SC LHIS S4S CUT DOWN DOOR FULL BOUND W/S,411.88,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrr6cs00lr93op7rlwxpnf,BC002227,BC 2880 DUNNAGE FLUSH HARDBOARD1 3/4 HC SLAB ONLY,367.42,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"Resdoor Co.  Inc.(ot=n/a,lead=n/a)",
cmmzrr7ia00md93op4drgdt43,BC002252,4 5/8 X 8/0 PRIMED FJ EXT FRAME LEG FOR 1 3/4 SC SLABS,8391.00,alphabetical,cmn2b7qwc0017yf0kbpg7c0kn,Novo Building Products,1.000,41,30.00,,
cmmzrr7nl00mg93optvdph658,BC002255,"BC 36''x 5 3/4"" ADJUSTABLE COMPOSITE MILL SILL INSWING",6190.56,on-time,cmn2b7ox70008yf0ka8xhzdfn,Boise Cascade,1.000,320,29.68,"WORLDWIDE(ot=n/a,lead=n/a)",
cmmzrrck200oy93op0ajoay0x,BC002353,BC 2068 2 PANEL SQUARE TOP SMOOTH 1 3/4 SC SLAB ONLY,247.62,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrrcsd00p293op5qi4tk47,BC002359,1 x 12 x 16' MDF S4S PRIMED,1938.42,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Novo Building Products(ot=100%,lead=30.0) | BlueLinx(ot=100%,lead=31.5) | McCOY'S BUILDING SUPPLY(ot=100%,lead=n/a)",
cmmzrribd00rk93op646ia6to,BC002451,DW 2680 CLEAR PINE 1 LITE W/ FROSTED GLASS SLAB ONLY,5621.55,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrry9j00z493opk15mmtqn,BC002742,BC 2880 POCKET DOOR FRAME 2X4 WALL,256.52,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrs9rp014w93opkihaltol,BC002952,BC 3080 20 MIN 6 PANEL HORIZONTAL 1 3/4 SC SLAB ONLY,297.59,lead-time,cmn2b7py8000qyf0kp1an55lh,DW Distribution,1.000,61,29.28,"Boise Cascade(ot=100%,lead=29.7)",
cmmzrsaix015a93ops7u5nk3e,BC002966,INTERIOR PRIMED T-ASTRAGAL 1-3/4 RH FOR 8/0 ROUTED FOR FLIP LOCK,398.87,on-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"WORLDWIDE(ot=n/a,lead=n/a)",
cmmzrseuc017q93opdx5m9uqg,BC003060,BC 2680 MOLDED 1 PANEL SHAKER 1 3/4 SC SLAB ONLY,766.51,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"DW Distribution(ot=100%,lead=29.3) | Boise Cascade(ot=100%,lead=29.7)",
cmmzrsjlb01a293opu36s9q94,BC003146,BC 3080 FG FLUSH GLAZE LOW E CLEAR FULL LITE SLAB ONLY,2239.76,lead-time,cmntqnsio02foq328tfik4ud5,WOODGRAIN,1.000,12,29.16,"Boise Cascade(ot=100%,lead=29.7)",
